3458	Frames	Moment	Average	Min	Max
3458	50	14,0	0,0	500,0	0,0
5665	100	22,0	22,0	22,0	0,0
7705	150	24,0	23,0	22,0	24,0
9805	200	23,0	23,0	22,0	24,0
12037	250	22,0	23,0	22,0	24,0
14300	300	22,0	23,0	22,0	24,0
16587	350	21,0	22,0	21,0	24,0
18739	400	23,0	22,0	21,0	24,0
20939	450	22,0	22,0	21,0	24,0
23079	500	23,0	22,0	21,0	24,0
25218	550	23,0	22,0	21,0	24,0
27360	600	23,0	23,0	21,0	24,0
29500	650	23,0	23,0	21,0	24,0
31643	700	23,0	23,0	21,0	24,0
33844	750	22,0	23,0	21,0	24,0
36035	800	22,0	23,0	21,0	24,0
38184	850	23,0	23,0	21,0	24,0
40323	900	23,0	23,0	21,0	24,0
42447	950	23,0	23,0	21,0	24,0
44582	1000	23,0	23,0	21,0	24,0
46721	1050	23,0	23,0	21,0	24,0
48867	1100	23,0	23,0	21,0	24,0
51075	1150	22,0	23,0	21,0	24,0
53207	1200	23,0	23,0	21,0	24,0
55405	1250	22,0	23,0	21,0	24,0
57525	1300	23,0	23,0	21,0	24,0
59664	1350	23,0	23,0	21,0	24,0
61800	1400	23,0	23,0	21,0	24,0
63936	1450	23,0	23,0	21,0	24,0
66066	1500	23,0	23,0	21,0	24,0
68195	1550	23,0	23,0	21,0	24,0
70303	1600	23,0	23,0	21,0	24,0
72437	1650	23,0	23,0	21,0	24,0
74564	1700	23,0	23,0	21,0	24,0
76715	1750	23,0	23,0	21,0	24,0
78838	1800	23,0	23,0	21,0	24,0
81037	1850	22,0	23,0	21,0	24,0
83155	1900	23,0	23,0	21,0	24,0
85305	1950	23,0	23,0	21,0	24,0
87424	2000	23,0	23,0	21,0	24,0
89547	2050	23,0	23,0	21,0	24,0
91678	2100	23,0	23,0	21,0	24,0
93902	2150	22,0	23,0	21,0	24,0
96080	2200	22,0	23,0	21,0	24,0
98215	2250	23,0	23,0	21,0	24,0
100335	2300	23,0	23,0	21,0	24,0
102462	2350	23,0	23,0	21,0	24,0
104596	2400	23,0	23,0	21,0	24,0
106722	2450	23,0	23,0	21,0	24,0
108847	2500	23,0	23,0	21,0	24,0
111041	2550	22,0	23,0	21,0	24,0
113181	2600	23,0	23,0	21,0	24,0
115321	2650	23,0	23,0	21,0	24,0
117480	2700	23,0	23,0	21,0	24,0
119604	2750	23,0	23,0	21,0	24,0
121734	2800	23,0	23,0	21,0	24,0
123862	2850	23,0	23,0	21,0	24,0
126003	2900	23,0	23,0	21,0	24,0
128137	2950	23,0	23,0	21,0	24,0
130303	3000	23,0	23,0	21,0	24,0
133040	3050	18,0	23,0	18,0	24,0
135264	3100	22,0	23,0	18,0	24,0
137447	3150	22,0	23,0	18,0	24,0
139491	3200	24,0	23,0	18,0	24,0
141686	3250	22,0	23,0	18,0	24,0
143767	3300	24,0	23,0	18,0	24,0
146010	3350	22,0	23,0	18,0	24,0
148208	3400	22,0	23,0	18,0	24,0
150303	3450	23,0	23,0	18,0	24,0
152386	3500	24,0	23,0	18,0	24,0
154464	3550	24,0	23,0	18,0	24,0
156664	3600	22,0	23,0	18,0	24,0
158809	3650	23,0	23,0	18,0	24,0
160986	3700	22,0	23,0	18,0	24,0
163141	3750	23,0	23,0	18,0	24,0
165327	3800	22,0	23,0	18,0	24,0
167471	3850	23,0	23,0	18,0	24,0
169690	3900	22,0	23,0	18,0	24,0
171949	3950	22,0	23,0	18,0	24,0
174204	4000	22,0	23,0	18,0	24,0
176432	4050	22,0	23,0	18,0	24,0
