T	X	Y
1328	-378,9191	502,01602
1329	-379,87054	503,2902
1331	-381,05988	504,13962
1333	-382,2492	504,98904
1335	-383,20065	505,4138
1337	-384,15213	506,2632
1339	-385,10358	507,11264
1341	-386,05505	508,38678
1343	-387,0065	508,81152
1347	-387,95798	509,66095
1351	-388,90942	510,08566
1359	-388,4337	510,9351
1361	-387,48224	512,2092
1363	-386,76865	513,0587
1365	-385,5793	513,4834
1367	-384,62784	513,4834
1370	-383,20065	513,4834
1372	-381,77347	513,4834
1374	-380,10843	513,4834
1376	-378,44336	513,0587
1378	-376,30258	512,634
1379	-375,3511	512,634
1380	-374,39966	512,2092
1381	-373,44818	511,78455
1382	-372,49673	511,3598
1383	-371,54526	511,3598
1384	-370,5938	510,9351
1385	-369,40448	510,51038
1386	-368,45303	510,51038
1387	-367,2637	510,51038
1388	-365,83652	510,51038
1389	-364,6472	510,51038
1390	-363,22	510,51038
1391	-362,03067	510,51038
1392	-360,6035	510,08566
1393	-359,1763	510,08566
1394	-357,74908	509,66095
1395	-356,08405	508,81152
1396	-354,65686	508,38678
1397	-352,9918	507,53735
1398	-351,32675	507,11264
1399	-349,66168	506,2632
1400	-347,9966	505,4138
1401	-346,33157	504,98904
1402	-344,1908	504,13962
1403	-342,28787	503,7149
1404	-340,14706	503,2902
1405	-338,0063	502,86548
1406	-335,8655	502,44077
1407	-333,72473	502,01602
1408	-331,8218	501,5913
1409	-329,68103	501,1666
1410	-327,54022	500,74188
1411	-325,6373	499,89246
1412	-323,49652	499,46774
1413	-321,5936	499,043
1414	-319,69067	499,043
1415	-317,78775	498,6183
1416	-315,88483	498,19357
1417	-313,98193	497,76886
1418	-312,079	497,76886
1419	-310,1761	497,76886
1420	-308,27316	498,19357
1421	-306,37024	498,19357
1422	-304,46732	498,19357
1423	-302,80225	498,19357
1424	-300,89935	498,19357
1425	-299,23428	498,19357
1427	-295,66632	497,76886
1428	-294,00125	497,34415
1429	-292,57407	496,49472
1430	-291,14688	496,06998
1431	-289,71967	495,22055
1432	-288,29248	494,79584
1433	-286,8653	494,79584
1434	-285,4381	494,37112
1435	-284,01093	494,37112
1436	-282,58374	493,9464
1437	-281,15652	493,9464
1438	-279,72934	493,5217
1439	-278,30215	493,5217
1440	-277,11282	493,5217
1441	-275,68564	493,09695
1442	-274,4963	492,67224
1443	-273,06912	492,67224
1444	-271,8798	492,24753
1445	-270,69046	491,8228
1446	-269,50116	491,8228
1447	-268,54968	491,8228
1448	-267,36035	491,3981
1449	-266,4089	491,3981
1450	-265,21957	490,9734
1451	-264,03024	490,9734
1452	-263,0788	490,54868
1453	-262,12732	490,54868
1455	-260,2244	490,54868
1457	-258,55936	490,12393
1459	-256,8943	489,69922
1461	-255,4671	489,2745
1463	-254,03992	489,2745
1465	-252,61273	488,42508
1467	-251,18553	487,57565
1469	-249,75835	486,7262
1471	-248,09329	485,45206
1473	-246,66609	484,60263
1478	-246,66609	483,32846
1480	-246,19037	482,05432
1482	-245,2389	481,20486
1488	-244,28745	480,78015
1491	-243,57385	479,0813
1492	-243,33598	478,23184
1495	-243,33598	477,38242
1500	-242,38452	476,533
1513	-242,14667	475,25882
1516	-242,38452	473,98468
