T	X	Y
2544	-1487,3704	282,86182
2545	-1490,2247	281,58768
2546	-1493,0792	280,3135
2547	-1495,9336	279,03937
2548	-1498,788	277,76523
2549	-1501,4044	276,49106
2550	-1504,2588	275,21692
2551	-1506,6375	273,94275
2552	-1509,254	272,2439
2553	-1512,3462	271,39444
2554	-1515,4385	270,1203
2555	-1518,7686	269,6956
2556	-1522,0988	269,6956
2557	-1525,1909	270,545
2558	-1528,0453	272,2439
2559	-1530,6619	274,36746
2560	-1533,2783	276,49106
2561	-1534,9435	279,03937
2562	-1536,1328	281,58768
2563	-1536,6085	284,5607
2564	-1536,1328	287,109
2565	-1534,7056	290,08203
2566	-1532,5648	292,63034
2567	-1529,9482	294,7539
2568	-1527,3318	296,8775
2569	-1524,2395	297,72693
2570	-1520,6715	297,30222
2571	-1517,1035	296,4528
2572	-1514,0114	295,60336
2573	-1510,9191	294,3292
2574	-1508,0647	292,2056
2575	-1505,2103	289,65732
2576	-1502,8317	286,6843
2577	-1501,1666	283,71127
2578	-1499,9773	280,73825
2579	-1499,7394	277,76523
2580	-1500,2151	274,7922
2581	-1501,4044	272,6686
2582	-1503,0695	270,545
2583	-1505,2103	268,84616
2584	-1507,589	267,14728
2585	-1510,4434	265,87314
2586	-1513,2977	265,44843
2587	-1515,9142	265,44843
2588	-1518,7686	265,87314
2589	-1521,3851	266,72256
2590	-1523,7638	268,42142
2591	-1526,3802	270,1203
2592	-1528,2832	272,6686
2593	-1529,4725	275,21692
2594	-1530,8998	278,18994
2595	-1531,6133	281,58768
2596	-1531,3755	284,5607
2597	-1530,6619	287,109
2598	-1529,4725	289,23257
2599	-1527,5696	291,35617
2600	-1525,6667	292,63034
2601	-1523,2881	293,90448
2602	-1520,9094	294,7539
2603	-1518,5308	295,17862
2604	-1516,1521	295,17862
2605	-1513,7734	294,7539
2606	-1511,6327	293,47977
2607	-1509,7297	292,2056
2608	-1508,3025	290,08203
2609	-1507,1132	287,95844
2610	-1505,9238	284,9854
2611	-1505,686	282,0124
2612	-1505,4481	279,03937
2613	-1506,1617	276,49106
2614	-1507,1132	273,94275
2615	-1508,5404	271,81918
2616	-1510,4434	270,1203
2617	-1512,5841	268,84616
