X0	Y0	V0	Курс	Vz				
-315,936961	401,082756	0	300	0				
сек. от старта	Обороты	Руль						
1045		0						
1047	600	0						
1050	600	0						
1055	600	0						
1060	600	0						
1062	1000	0						
1065	1000	0						
1070	1000	0						
1075	1000	0						
1080	1000	2						
1081	1000	2						
1082	1000	2						
1083	1000	0						
1084	1000	0						
1085	1000	0						
1086	1000	0						
1087	1000	0						
1088	1000	0						
1089	1500	0						
1090	1500	0						
1095	1500	0						
1100	1500	0						
1105	1500	0						
1110	1500	0						
1115	1500	0						
1120	1500	0						
1125	2000	0						
1130	2000	0						
1135	2000	0						
1140	2000	0						
1145	2000	0						
1150	2000	0						
1155	2000	0						
1160	2000	0						
1165	2000	0						
1170	2000	0						
1175	2000	0						
1177	2200	0						
1180	2200	0						
1185	2200	0						
1190	2200	0						
1195	2200	0						
1196	0	0						
1200	0	0						
1205	0	0						
1210	0	0						
1215	-1000	0						
1220	-1500	0						
1225	-1500	0						
1230	-1500	0						
1235	0	0						
1240	0	0
