X0	Y0	V0	Курс	Vz
-314,2198	545,7619	2,676555556	260	0
сек. от старта	Обороты	Руль	
1779	2000	0	
1782	2000	0	
1783	2000	-2	
1784	2000	-2	
1786	2000	-2	
1787	2000	0	
1789	2000	0	
1793	2000	-2	
1794	2000	-2	
1795	2000	-2	
1796	2000	-2	
1797	2000	-2	
1798	2000	0	
1799	2000	0	
1804	2000	0	
1809	2000	0	
1814	2000	0	
1817	0	0	
1819	0	0	
1824	0	0	
1829	0	0	
1834	0	0	
1839	0	0	
1844	0	0	
1849	0	0	
1854	0	0	
1859	0	0	
1864	0	0	
1869	0	0	
1874	0	0	
1879	0	0	
1884	0	0	
1889	0	0	
1894	0	0	
1899	0	0	
1904	0	0	
1909	0	0	
1914	0	0	
1919	0	0	
1924	0	0	
1929	0	0	
1934	0	0	
1939	0	0	
1944	0	0	
1949	0	0	
1954	0	0	
1959	0	0	
1964	0	0	
1969	0	0	
1974	0	0	
1979	0	0	
1984	0	0	
1989	0	0	
1994	0	0	
1999	0	0	
2004	0	0	
2009	0	0	
2014	0	0	
2019	0	0	
