X0	Y0	V0	Курс	Vz
-926,24664	469,73752	4,066305556	263	0
Время	Обороты	Руль	
2184	2000	0	
2189	2000	0	
2190	2000	0	
2191	2000	-2	
2192	2000	-2	
2193	2000	-6	
2194	2000	-10	
2195	2000	-12	
2196	2000	-14	
2197	2000	-15	
2198	2000	-15	
2199	2000	-15	
2200	2000	-15	
2201	2000	-15	
2202	2000	-15	
2203	2000	-15	
2204	2000	-15	
2205	2000	-15	
2206	2000	-15	
2207	2000	-15	
2208	2000	-15	
2209	2000	-15	
2210	2000	-15	
2211	2000	-15	
2212	2000	-15	
2213	2000	-15	
2214	2000	-15	
2215	2000	-15	
2216	2000	-15	
2217	2000	-15	
2218	2000	-15	
2219	2000	-15	
2220	2000	-15	
2221	2000	-15	
2222	2000	-15	
2223	2000	-15	
2224	2000	-15	
2225	2000	-15	
2226	2000	-15	
2227	2000	-15	
2228	0	-15	
2229	0	-15	
2230	0	-15	
2231	0	-15	
2232	0	-15	
2233	0	-15	
2234	0	-15	
2235	0	-15	
2236	0	-15	
2237	0	-15	
2238	0	-15	
2239	0	-15	
2240	0	-15	
2241	0	-15	
2242	0	-15	
2243	0	-15	
2244	0	-15	
2245	0	-15	
2246	0	-15	
2247	0	-15	
2248	0	-14	
2249	0	-12	
2250	0	-12	
2251	0	-10	
2252	0	-8	
2253	0	-8	
2254	0	-6	
2255	0	-4	
2256	0	-2	
2257	0	-2	
2258	0	0	
2268	0	0	
