X0	Y0	V0	Курс
-926,24664	469,73752	4,066305556	250
сек. от старта	Обороты	Руль	
2184	2000	0	
2189	2000	0	
2190	2000	0	
2191	2000	-2	
2192	2000	-2	
2193	2000	-6	
2194	2000	-10	
2195	2000	-12	
2196	2000	-14	
2197	2000	-15	
2198	2000	-15	
2199	2000	-15	
2200	2000	-15	
2201	2000	-15	
2202	2000	-15	
2203	2000	-15	
2204	2000	-15	
2205	2000	-15	
2206	2000	-15	
2207	2000	-15	
2208	2000	-15	
2209	2000	-15	
2210	2000	-15	
2211	2000	-15	
2212	2000	-15	
2213	2000	-15	
2214	2000	-15	
2215	2000	-15	
2216	2000	-15	
2217	2000	-15	
2218	2000	-15	
2219	2000	-15	
2220	2000	-15	
2221	2000	-15	
2222	2000	-15	
2223	2000	-15	
2224	2000	-15	
2225	2000	-15	
2226	2000	-15	
2227	2000	-15	
2228	2000	-15	
2229	2000	-15	
2230	2000	-15	
2231	2000	-15	
2232	2000	-15	
2233	2000	-15	
2234	2000	-15	
2235	2000	-15	
2236	2000	-15	
2237	2000	-15	
2238	2000	-15	
2239	2000	-15	
2240	2000	-15	
2241	2000	-15	
2242	2000	-15	
2243	2000	-15	
2244	2000	-15	
2245	2000	-15	
2246	2000	-15	
2247	2000	-15	
2248	2000	-14	
2249	2000	-12	
2250	2000	-12	
2251	2000	-10	
2252	2000	-8	
2253	2000	-8	
2254	2000	-6	
2255	2000	-4	
2256	2000	-2	
2257	2000	-2	
2258	2000	0	
