X0	Y0	V0	Курс				
-1358,9232	361,43457	3,294222222	262				
Время	Обороты	Руль					
2434	1500	0					
2435	1500	-4					
2436	1500	-6					
2437	1500	-10					
2438	1500	-12					
2439	1500	-12					
2440	1500	-16					
2441	1500	-16					
2442	1500	-16					
2443	1500	-18					
2444	1500	-18					
2445	1500	-18					
2446	1500	-18					
2447	1500	-20					
2448	1500	-20					
2449	1500	-20					
2450	1500	-20					
2451	1500	-20					
2452	1500	-20					
2453	1500	-20					
2454	1500	-20					
2455	1500	-20					
2456	1500	-20					
2457	1500	-20					
2458	1500	-20					
2459	1500	-20					
2460	1500	-20					
2461	1500	-20					
2462	1500	-20					
2463	1500	-20					
2464	1500	-20					
2465	1500	-20					
2466	1500	-20					
2467	1500	-20					
2468	1500	-20					
2469	1500	-20					
2470	1500	-20					
2471	1500	-20					
2472	1500	-20					
2473	1500	-20					
2474	1500	-20					
2475	1500	-20					
2476	1500	-20					
2477	1500	-20					
2478	1500	-20					
2479	1500	-20					
2480	1500	-20					
2481	1500	-20					
2482	1500	-20					
2483	1500	-20					
2484	1500	-20					
2485	1500	-20					
2486	1500	-20					
2487	1500	-20					
2488	1500	-20					
2489	1500	-20					
2490	1500	-20					
2491	1500	-20					
2492	1500	-20					
2493	1500	-20					
2494	1500	-20					
2495	1500	-20					
2496	1500	-20					
2497	1500	-18					
2498	1500	-14					
2499	1500	-12					
2500	1500	-8					
2501	1500	-4					
2502	1500	0					
2512	1500	0					
