X0	Y0	V0	Курс	Vx
-1610,8224	310,04373	-1,286805556	55	0
Время	Обороты	Руль		
4483	-500	-2		
4488	-500	-6		
4489	-500	-10		
4490	-500	-14		
4491	-500	-16		
4492	-500	-18		
4493	-500	-18		
4494	-500	-18		
4495	-500	-20		
4496	-500	-20		
4497	-500	-20		
4498	-500	-20		
4499	-500	-20		
4500	-500	-20		
4501	-500	-20		
4502	-500	-20		
4503	-500	-20		
4504	-500	-20		
4505	-500	-20		
4506	-500	-20		
4507	-500	-20		
4508	-500	-20		
4509	-500	-20		
4510	-500	-20		
4511	-500	-20		
4512	-500	-20		
4513	-500	-20		
4514	-500	-20		
4515	-500	-20		
4516	-500	-20		
4517	-500	-20		
4518	-500	-20		
4519	-500	-20		
4520	-500	-20		
4521	-500	-20		
4522	-500	-20		
4523	-500	-20		
4524	-500	-20		
4525	-500	-20		
4526	-500	-20		
4527	-500	-20		
4528	-500	-20		
4529	-500	-20		
4530	-500	-20		
4531	-500	-20		
4532	-500	-20		
4533	-500	-20		
4534	-500	-20		
4535	-500	-20		
4536	-500	-20		
4537	-500	-20		
4538	-500	-20		
4539	-500	-20		
4540	-500	-20		
4541	-500	-20		
4542	-500	-20		
4543	-500	-20		
4544	-500	-20		
4545	-500	-20		
4546	-500	-20		
4547	-500	-20		
4548	-500	-20		
4549	-500	-20		
4550	-500	-20		
4551	-500	-20		
4552	-500	-20		
4553	-500	-20		
4554	-500	-20		
4555	-500	-20		
4556	-500	-20		
4557	-500	-20		
4558	-500	-20		
4559	-500	-20		
4560	-500	-20		
4561	-500	-20		
4562	-500	-20		
4563	-500	-20		
4564	-500	-20		
4565	-500	-20		
4566	-500	-20		
4567	-500	-20		
4568	-500	-20		
4569	-500	-20		
4570	-500	-20		
4571	-500	-20		
4572	-500	-20		
4573	-500	-20		
4574	-500	-20		
4575	-500	-20		
4576	-500	-20		
4577	-500	-20		
4578	-500	-20		
4579	-500	-20		
4580	-500	-20		
4581	-500	-20		
4582	-500	-20		
4583	-500	-20		
4584	-500	-20		
4585	-500	-20		
4586	-500	-20		
4587	-500	-20		
4588	-500	-20		
4589	-500	-20		
4590	-500	-20		
4591	-500	-20		
4592	-500	-20		
4593	-500	-20		
4594	-500	-20		
4595	-500	-20		
4596	-500	-20		
4597	-500	-20		
4598	-500	-20		
4599	-500	-20		
4600	-500	-20		
4601	-500	-20		
4602	-500	-20		
4603	-500	-20		
4604	-500	-20		
4605	-500	-20		
4606	-500	-20		
4607	-500	-20		
4608	-500	-20		
4609	-500	-20		
4610	-500	-20		
4611	-500	-20		
4612	-500	-20		
4613	-500	-20		
4614	-500	-20		
4615	-500	-20		
4616	-500	-20		
4617	-500	-20		
4618	-500	-20		
4619	-500	-20		
4620	-500	-20		
4621	-500	-20		
4622	-500	-20		
4623	-500	-20		
4624	-500	-20		
4625	-500	-20		
4626	-500	-20		
4627	-500	-20		
4628	-500	-20		
4629	-500	-20		
4630	-500	-20		
4631	-500	-20		
4632	-500	-20		
4633	-500	-20		
4634	-500	-20		
4635	-500	-20		
4636	-500	-20		
4637	-500	-20		
4638	-500	-20		
4639	-500	-20		
4640	-500	-20		
4641	-500	-20		
4642	-500	-20		
4643	-500	-20		
4644	-500	-20		
4645	-500	-20		
4646	-500	-20		
4647	-500	-20		
4648	-500	-20		
4649	-500	-20		
4650	-500	-20		
4651	-500	-20		
4652	-500	-20		
4653	-500	-20		
4654	-500	-20		
4655	-500	-20		
4656	-500	-20		
4657	-500	-20		
4658	-500	-20		
4659	-500	-20		
4660	-500	-20		
4661	-500	-20		
4662	-500	-20		
4663	-500	-20		
4664	-500	-20		
4665	-500	-20		
4666	-500	-20		
4667	-500	-20		
4668	-500	-20		
4669	-500	-20		
4670	-500	-20		
4671	-500	-20		
4672	-500	-20		
4673	-500	-20		
4674	-500	-20		
4675	-500	-20		
4676	-500	-20		
4677	-500	-20		
4678	-500	-20		
4679	-500	-20		
4680	-500	-20		
4681	-500	-20		
4682	-500	-20		
4683	-500	-20		
4684	-500	-20		
4685	-500	-20		
4686	-500	-20		
4687	-500	-20		
4688	-500	-20		
4689	-500	-20		
4690	-500	-20		
4691	-500	-20		
4692	-500	-20		
4693	-500	-16		
4694	-500	-10		
4695	-500	-4		
4696	-500	0		
4697	-500	0		
4698	-500	0		
4699	-500	0		
4700	-500	0		
4701	-500	0		
4702	-500	0		
4703	-500	0		
4704	-500	0
