X0	Y0	V0	Курс	Vx			
-1565,1523	311,7426	0,308833333	41	0			
сек. от старта	Обороты	Руль					
4780	0	0					
4781	0	0					
4782	0	0					
4783	0	0					
4784	0	0					
4785	0	0					
4786	0	0					
4787	0	0					
4788	0	0					
4789	500	0					
4790	1000	0					
4791	1500	0					
4792	1500	0					
4793	1500	2					
4794	1500	2					
4795	1500	2					
4796	1500	2					
4797	1500	2					
4798	1500	2					
4799	1500	0					
4800	1500	0					
4801	1500	0					
4802	1500	0					
4803	1500	0					
4804	1500	0					
4805	1500	0					
4806	1500	0					
4807	1500	0					
4808	1500	0					
4809	1500	0					
4810	1500	0					
4811	1500	0					
4812	1500	0					
4813	1500	0					
4814	1500	0					
4815	1500	0					
4816	1500	0					
4817	1500	0					
4818	1500	0					
4819	1500	0					
4820	1500	0					
