X0	Y0	V0	Курс	
-1438,846	328,30658	-2,161833333	54	
Время	Обороты	Руль		
5310	0	-2		
5311	0	-4		
5312	0	-2		
5313	0	-2		
5314	0	-2		
5315	0	-2		
5316	0	-2		
5317	0	-2		
5318	0	-2		
5319	0	-2		
5320	0	-2		
5321	0	-2		
5322	0	-2		
5323	0	-2		
5324	0	-2		
5325	0	-2		
5326	0	-2		
5327	0	-2		
5328	0	-2		
5329	0	-2		
5330	0	-2		
5331	0	-2		
5332	0	-2		
5333	1500	-2		
5334	1500	-2		
5335	1500	-2		
5336	1500	-2		
5337	1500	-2		
5338	1500	0		
5339	1500	0		
5340	1500	2		
5341	1500	6		
5342	1500	6		
5343	1500	6		
5344	1500	8		
5345	1500	8		
5346	1500	10		
5347	1500	10		
5348	1500	8		
5349	1500	8		
5350	1500	6		
5351	1500	4		
5352	1500	4		
5353	1500	2		
5354	1500	2		
5355	1500	2		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
