5040	Время	Обороты	Руль	Скорость	Курс	X	Y
5040	3804	1000	0	0,46325	303	-1373,909	228,498
5040	3805	1000	0	0,46325	303	-1373,909	228,498
5040	3806	1000	0	0,46325	303	-1373,909	228,498
5040	3807	1000	0	0,46325	303	-1373,909	228,498
5040	3808	1000	0	0,46325	303	-1373,909	228,498
6698	3809	1000	0	0,4670452	302,9997	-1373,924	228,5082
7566	3810	1000	0	0,4973002	302,8951	-1374,048	228,6018
7992	3811	1000	0	0,5553709	302,4262	-1374,297	228,8224
9009	3812	1000	0	0,6493621	301,366	-1374,759	229,2383
9991	3813	1000	0	0,7378903	300,2857	-1375,285	229,6652
10991	3814	1000	0	0,8264219	299,3723	-1375,919	230,1413
12008	3815	1000	0	0,9148102	298,3787	-1376,633	230,6964
13030	3816	1000	0	0,9995344	297,4901	-1377,451	231,2098
14641	3817	1000	0	1,096957	296,5588	-1378,487	231,8828
15017	3818	1000	0	1,137375	296,1779	-1378,971	232,1644
15999	3819	1000	0	1,216614	295,4438	-1380,001	232,7605
16993	3820	1000	0	1,292128	294,8005	-1381,086	233,3415
17997	3821	1000	0	1,368376	294,1831	-1382,29	233,9914
19004	3822	1000	0	1,440706	293,5999	-1383,558	234,6217
20001	3823	1000	0	1,510539	293,0877	-1384,872	235,2617
21006	3824	1000	0	1,577785	292,5877	-1386,261	235,9354
21993	3825	1000	0	1,641095	292,1373	-1387,712	236,5784
23003	3826	1000	0	1,704192	291,6782	-1389,285	237,2779
23992	3827	1000	0	1,762067	291,3251	-1390,837	237,9325
25007	3828	1000	0	1,8194	290,9895	-1392,524	238,65
25998	3829	1000	0	1,872704	290,6346	-1394,223	239,3625
27000	3830	1000	0	1,923122	290,304	-1396	240,0611
28007	3831	1000	0	1,970662	289,9908	-1397,811	240,7628
29003	3832	1000	0	2,015349	289,77	-1399,684	241,4685
29998	3833	1000	0	2,057229	289,5241	-1401,571	242,1989
30999	3834	1000	0	2,096361	289,2924	-1403,526	242,9258
31998	3835	1000	0	2,132821	289,0624	-1405,511	243,655
32998	3836	1000	0	2,166697	288,8325	-1407,543	244,3736
34002	3837	1000	0	2,198087	288,6608	-1409,597	245,0945
35006	3838	1000	0	2,227102	288,5523	-1411,686	245,8288
35998	3839	1000	0	2,253856	288,3678	-1413,807	246,5816
37004	3840	1000	0	2,278469	288,1765	-1415,953	247,304
38005	3841	1000	0	2,301064	288,0667	-1418,121	248,0275
38999	3842	1000	0	2,321764	287,9576	-1420,31	248,7614
40004	3843	1000	0	2,340693	287,864	-1422,523	249,5068
41005	3844	1000	0	2,357973	287,7114	-1424,751	250,2455
42006	3845	1000	0	2,373721	287,5888	-1427,008	250,9665
43005	3846	1000	0	2,388053	287,5187	-1429,275	251,6897
44005	3847	1000	0	2,401077	287,4619	-1431,553	252,4368
44998	3848	1000	0	2,412899	287,3519	-1433,849	253,178
45998	3849	0	0	2,423616	287,3075	-1436,151	253,9064
46998	3850	0	0	2,376843	287,1912	-1438,427	254,6241
48000	3851	0	0	2,331253	287,1379	-1440,683	255,316
48998	3852	0	0	2,286809	287,1346	-1442,895	256,0132
50002	3853	0	0	2,24347	287,0964	-1445,06	256,6986
50999	3854	0	0	2,201199	287,0052	-1447,176	257,3408
51998	3855	0	0	2,159961	287,0459	-1449,264	257,9676
53003	3856	0	0	2,119722	287,066	-1451,305	258,6165
54005	3857	0	0	2,080449	287,0575	-1453,308	259,2376
54998	3858	0	0	2,042112	287,0287	-1455,286	259,8391
55998	3859	0	0	2,004679	287,0433	-1457,217	260,4245
56998	3860	0	0	1,968124	287,0701	-1459,109	261,0084
58002	3861	0	0	1,932418	287,0693	-1460,977	261,5766
59001	3862	0	0	1,897534	287,0951	-1462,818	262,1487
60001	3863	0	0	1,863449	287,1331	-1464,599	262,7024
61002	3864	0	0	1,830138	287,0796	-1466,359	263,2508
62004	3865	0	0	1,797578	287,0536	-1468,11	263,7671
62998	3866	0	0	1,765744	287,1631	-1469,819	264,2805
63999	3867	0	0	1,734618	287,1474	-1471,472	264,8201
65002	3868	0	0	1,704177	287,1261	-1473,118	265,3157
65997	3869	0	0	1,674403	287,1451	-1474,729	265,8165
67005	3870	0	0	1,645275	287,1176	-1476,319	266,3086
